Aphrika	Африка
191 kñ	191 год до н. э.
Liwri	Зайцы (род)
Felix Mendelssohn	Мендельсон, Феликс
Uyq'ur runa	Уйгуры
275 kñ	275 год до н. э.
212 kñ	212 год до н. э.
Mamallaqta parki	Национальный парк
199 kñ	199 год до н. э.
Olimpyapi Zeus wank'a	Статуя Зевса в Олимпии
1510 watakuna	1510-е годы
196 kñ	196 год до н. э.
187 kñ	187 год до н. э.
198 kñ	198 год до н. э.
192 kñ	192 год до н. э.
Waysallpu yura rikch'aq ayllu	Розовые
Putuq	Трапеция
T'iwka	Лук (оружие)
193 kñ	193 год до н. э.
194 kñ	194 год до н. э.
205 kñ	205 год до н. э.
155 kñ	155 год до н. э.
176 kñ	176 год до н. э.
Patrick Vieira	Виейра, Патрик
181 kñ	181 год до н. э.
Edgar Degas	Дега, Эдгар
Ruqyay musyana	Микрофон
Buliwyapi rimaykuna	Языки Боливии
Sonora suyu	Сонора
Waraniyi runa	Гуарани (группа народов)
Guanajuato suyu	Гуанахуато (штат)
Juan Sebastián Verón	Верон, Хуан Себастьян
Baja California Sur suyu	Южная Нижняя Калифорния
167 kñ	167 год до н. э.
166 kñ	166 год до н. э.
174 kñ	174 год до н. э.
165 kñ	165 год до н. э.
Lacuna Coil	Lacuna Coil
208 kñ	208 год до н. э.
160 kñ	160 год до н. э.
161 kñ	161 год до н. э.
164 kñ	164 год до н. э.
182 kñ	182 год до н. э.
173 kñ	173 год до н. э.
172 kñ	172 год до н. э.
178 kñ	178 год до н. э.
175 kñ	175 год до н. э.
Octavio Paz	Пас, Октавио
Hap'iqay	Понимание
Sendai	Сендай
Harry Potter nina q'iruwan	Гарри Поттер и Кубок огня
Harry Potter wañuypa chiqanyankunawan	Гарри Поттер и Дары Смерти
Wangari Maathai	Маатаи, Вангари
Walla	Горный хребет
Siwi	Кольцо (украшение)
Hubei pruwinsya	Хубэй
Harry Potter khuska yawar awkiwan	Гарри Поттер и Принц-полукровка
Zlatan Ibrahimović	Ибрагимович, Златан
154 kñ	154 год до н. э.
Shanxi pruwinsya	Шаньси
Piluta Hayt'ay Pachantin Kupa 1982	Чемпионат мира по футболу 1982
Piluta Hayt'ay Pachantin Kupa 1986	Чемпионат мира по футболу 1986
Alcalá de Henares	Алькала-де-Энарес
Piluta Hayt'ay Pachantin Kupa 1978	Чемпионат мира по футболу 1978
132 kñ	132 год до н. э.
170 kñ	170 год до н. э.
157 kñ	157 год до н. э.
111 kñ	111 год до н. э.
114 kñ	114 год до н. э.
220 kñ	220 год до н. э.
163 kñ	163 год до н. э.
162 kñ	162 год до н. э.
280 kñ	280 год до н. э.
134 kñ	134 год до н. э.
Espoo	Эспоо
K'aklla	Щека
Oulu	Оулу
Imasmari	Загадка
P'aqu	Коричневый цвет
Yuquspa allquchay	Изнасилование
Guizhou pruwinsya	Гуйчжоу
Apay p'uruña	Ведро
Atakama	Атакама
Linus (Tayta Papa)	Лин (папа римский)
Nobel Suñay Musikupi	Нобелевская премия по экономике
218 kñ	218 год до н. э.
118 kñ	118 год до н. э.
138 kñ	138 год до н. э.
135 kñ	135 год до н. э.
128 kñ	128 год до н. э.
270 kñ	270 год до н. э.
Harry Potter pakasqa ukhuwan	Гарри Поттер и Тайная комната
Wata hunt'ay	День рождения
Kuru	Черви
Schio llaqta	Скио
Kuskan ismuykuy mit'a	Период полураспада
Kawallu awqaq	Кавалерия
Ch'illik'utu	Настоящие сверчки
287 kñ	287 год до н. э.
216 kñ	216 год до н. э.
300 kñ	300 год до н. э.
Marie Antoinette	Мария-Антуанетта
P'anqa kañina	Банкнота
158 kñ	158 год до н. э.
127 kñ	127 год до н. э.
117 kñ	117 год до н. э.
153 kñ	153 год до н. э.
125 kñ	125 год до н. э.
108 kñ	108 год до н. э.
Aix-en-Provence	Экс-ан-Прованс
124 kñ	124 год до н. э.
Paul Dirac	Дирак, Поль Адриен Морис
Mama aqha p'uchqu	Уксусная кислота
Pierre Littbarski	Литтбарски, Пьер
Zico	Зико
Kim Hwang-sik	Ким Хвансик
221 kñ	221 год до н. э.
Tiziano	Тициан
Tupu	Единицы измерения
Belém	Белен (Пара)
Harry Potter Askabanmanta ayqiq samk'asqawan	Гарри Поттер и узник Азкабана
Sansa k'anchana	Лампа накаливания
230 kñ	230 год до н. э.
295 kñ	295 год до н. э.
276 kñ	276 год до н. э.
204 kñ	204 год до н. э.
288 kñ	288 год до н. э.
Amerigo Vespucci	Веспуччи, Америго
Josuap qillqasqan	Книга Иисуса Навина
Kaphiy yura	Кофе аравийский
Kalahari	Калахари
Achi Tayta (kuyu walltay)	Крёстный отец (фильм)
Piluta Hayt'ay Pachantin Kupa 2002	Чемпионат мира по футболу 2002
Gary Lineker	Линекер, Гари
Naoto Kan	Кан, Наото
Pratibha Patil	Патил, Пратибха
Khirkinchu	Броненосцевые
Green Day	Green Day
Robbie Williams	Уильямс, Робби
339	339 год
340	340 год
Nijmegen	Неймеген
Surq'an phiru unquy	Рак лёгкого
354	354 год
356	356 год
358	358 год
361	361 год
363	363 год
364	364 год
Shaanxi pruwinsya	Шэньси
368	368 год
369	369 год
370	370 год
371	371 год
Plantilla:Commonscat	Шаблон:Commonscat
376	376 год
377	377 год
378	378 год
1780 watakuna	1780-е годы
383	383 год
384	384 год
Inlatirra suyup riqyunkuna	Регионы Англии
388	388 год
389	389 год
390	390 год
391	391 год
392	392 год
1730 watakuna	1730-е годы
393	393 год
394	394 год
395	395 год
396	396 год
397	397 год
Ñutqu p'istuq llika unquy	Менингит
398	398 год
399	399 год
1540 watakuna	1540-е годы
Bedřich Smetana	Сметана, Бедржих
297 kñ	297 год до н. э.
Romanukunapaq qillqa	Послание к Римлянам
293 kñ	293 год до н. э.
Mamallaqtapura Huñu Sallqa Pachata Sallqapi Kaqkunata Amachanapaq	Международный союз охраны природы
Medellín	Медельин
Yachay munaq	Студент
Kipa	Шофар
Martin Heidegger	Хайдеггер, Мартин
Kōbe	Кобе
Recife	Ресифи
Magallanes k'ikllu	Магелланов пролив
Phiruru	Блок (механика)
285 kñ	285 год до н. э.
Aya	Труп
Piluta Hayt'ay Pachantin Kupa 1930	Чемпионат мира по футболу 1930
1750 watakuna	1750-е годы
1580 watakuna	1580-е годы
1590 watakuna	1590-е годы
Ch'antakuq rimay	Синтетический язык
Didier Drogba	Дрогба, Дидье
Linus Pauling	Полинг, Лайнус
Q'aytu	Пряжа
Willakuy	Новелла
Yale Yachay Suntur	Йельский университет
279	279 год
440	440 год
517	517 год
572	572 год
Awstrunisyu rimaykuna	Австронезийские языки
Saint Petersburg	Сент-Питерсберг (Флорида)
Liyun X	Лев X
Virginia Beach (Virginia)	Верджиния-Бич
Oscar Arias	Ариас Санчес, Оскар
Chullunku pacha	Ледниковый период
Karu puriy	Туризм
Pulla	Лук (растение)
Putura	Пробка
Jean de La Fontaine	Лафонтен, Жан де
2026	2026 год
2025	2025 год
2024	2024 год
2023	2023 год
2022	2022 год
2021	2021 год
Loch Ness	Лох-Несс
Llamk'ay sayachi	Забастовка
Chaski	Почта
2041	2041 год
2042	2042 год
2043	2043 год
2044	2044 год
2045	2045 год
2046	2046 год
2047	2047 год
2048	2048 год
2049	2049 год
2050	2050 год
2051	2051 год
2052	2052 год
Giulio Andreotti	Андреотти, Джулио
Truyanu Kawallu	Троянский конь
Manchester City FC	Манчестер Сити
Muksi	Оксиды
Wu Yi	У И
John Atta Mills	Миллс, Джон Эванс Атта
Piqa	Пика (Чили)
Cali	Кали (город)
Pereira	Перейра (город)
John Ford (kullu walltay)	Форд, Джон (режиссёр)
John Howard	Говард, Джон
Gniezno	Гнезно
Frank Capra	Капра, Фрэнк
William Wyler	Уайлер, Уильям
John Huston	Хьюстон, Джон
Joseph L. Mankiewicz	Манкевич, Джозеф Лео
Providencia (Chili)	Провиденсия (Чили)
Puente Alto	Пуэнте-Альто
Puerto Varas	Пуэрто-Варас
Punta Arenas	Пунта-Аренас
Philipiyuqkunapaq qillqa	Послание к Филиппийцам
Iñini	Апостольский Символ веры
Takikunap takin	Песнь песней Соломона
Malyakhiyap qillqasqan	Книга пророка Малахии
Maskoki	Крики
Awya Yala rimaykuna	Индейские языки
Werder Bremen	Вердер (футбольный клуб)
Evola virusmanta unquyqa	Геморрагическая лихорадка Эбола
Middelburg (Zeeland)	Мидделбург
Kawsay allpa saywachi	Биогеография
Sheikh Hasina	Хасина, Шейх
Plantilla:T'inkisqa	Шаблон:Вещество
Plantilla:Qallawa	Шаблон:Химический элемент
Plantilla:Taxobox	Шаблон:Taxobox
Rosario (Arhintina)	Росарио
Abebe Bikila	Абебе Бикила
Mar del Plata	Мар-дель-Плата
Jesse Owens	Оуэнс, Джесси
Javier Zanetti	Санетти, Хавьер
Fredrik Reinfeldt	Райнфельдт, Йон Фредрик
Louis Gerhard De Geer	Геер, Луи де
Yatana waqachina	Клавишные музыкальные инструменты
Roberto Rossellini	Росселлини, Роберто
Bernardo Bertolucci	Бертолуччи, Бернардо
Saltillo	Сальтильо
Coahuila suyu	Коауила
Bisiklita yallinakuy	Велосипедный спорт
Werner Faymann	Файман, Вернер
Kiswar yura rikch'aq ayllu	Норичниковые
Muña yura rikch'aq ayllu	Яснотковые
Liryu yura rikch'aq ayllu	Лилейные
K'ayra	Бесхвостые
Wata-wata	Хвостатые земноводные
Olof Palme	Пальме, Улоф
Ingvar Carlsson	Карлссон, Ингвар
Chullu walli	Южноамериканская гарпия
Q'ispi rumi	Обсидиан
Katiguriya:Qhapaq	Категория:Короли
Sami Khedira	Хедира, Сами
Ska	Ска
Tumay aranwa	Амфитеатр
Valincia (Winisuyla)	Валенсия (Венесуэла)
Tumipampa	Куэнка (Эквадор)
Pedro Almodóvar	Альмодовар, Педро
Laurence Olivier	Оливье, Лоуренс
Hamp'atu	Жабы
Marcello Mastroianni	Мастроянни, Марчелло
Kaynaku	Железнодорожная станция
Miguel Hidalgo	Идальго-и-Костилья, Мигель
Alwatrus	Альбатросовые
Pachakawri luq'u	Ударный кратер
Katiguriya:Umalliq (Pulunya)	Категория:Президенты Польши
Katiguriya:Uma kamayuq (Pulunya)	Категория:Премьер-министры Польши
Lumière wawqikuna	Братья Люмьер
Katharine Hepburn	Хепбёрн, Кэтрин
Rocío Dúrcal	Дуркаль, Росио
Francis Ford Coppola	Коппола, Фрэнсис Форд
Hayaq yaku	Крепкие спиртные напитки
Georges Bizet	Бизе, Жорж
Lise Meitner	Мейтнер, Лиза
Ivo Sanader	Санадер, Иво
Hopi simi	Хопи (язык)
Hawsa simi	Хауса (язык)
Kariña simi	Карибский язык
Yorem simi	Майо (язык)
Jiangxi pruwinsya	Цзянси
Gustav Hertz	Герц, Густав Людвиг
Fritz Haber	Габер, Фриц
Adolf von Baeyer	Байер, Адольф
Jürgen Klinsmann	Клинсман, Юрген
Jens Lehmann	Леманн, Йенс (футболист)
Walther Nernst	Нернст, Вальтер Герман
Otto Wallach	Валлах, Отто
P'uku	Тарелка
Ollanta Humala	Умала, Ольянта
Georgi Parvanov	Пырванов, Георгий Седефчов
Felipe Calderón	Кальдерон, Фелипе
Paul Biya	Бийя, Поль
Traian Băsescu	Бэсеску, Траян
Abdullah bin Abdul-Aziz	Абдалла ибн Абдул-Азиз Аль Сауд
Juan Manuel Santos	Сантос, Хуан Мануэль
Hassanal Bolkiak	Хассанал Болкиах
Mauricio Funes	Фунес, Маурисио
Isayas Afewerki	Афеворк, Исайяс
Yahya Jammeh	Джамме, Яйя
Emomalii Rakhmon	Рахмон, Эмомали
Girma Wolde-Giorgis	Гырма Уольде-Гиоргис Лука
Nursultan Nazarbajev	Назарбаев, Нурсултан Абишевич
Aníbal Cavaco Silva	Каваку Силва, Анибал
Nguyễn Minh Triết	Нгуен Минь Чьет
Daniel Ortega	Ортега, Даниэль
Susilo Bambang Yudhoyono	Сусило Бамбанг Юдойоно
Shimon Peres	Перес, Шимон
Václav Klaus	Клаус, Вацлав
Ram Baran Yadav	Ядав, Рам Баран
Ningxia	Нинся-Хуэйский автономный район
Abdullah II	Абдалла II ибн Хусейн
Hifikepunye Pohamba	Похамба, Хификепунье
Kurbanguly Berdymukhamedov	Бердымухамедов, Гурбангулы Мяликгулыевич
Filip Vujanović	Вуянович, Филип
Mohammed VI	Мухаммед VI
Islom Karimov	Каримов, Ислам Абдуганиевич
Nguyễn Tấn Dũng	Нгуен Тан Зунг
Lee Hsien Loong	Ли Сяньлун
Yoshihiko Noda	Нода, Ёсихико
Jens Stoltenberg	Столтенберг, Йенс
Yingluck Shinawatra	Чиннават, Йинглак
Dean Barrow	Барроу, Дин
John Key	Кей, Джон
Hun Sen	Хун Сен
Mark Rutte	Рютте, Марк
Enda Kenny	Кенни, Энда
Pukara	Фортификационное сооружение
Sintu	Цент
Yang Jiechi	Ян Цзечи
Serguey Lavrov	Лавров, Сергей Викторович
Duran Duran	Duran Duran
Burbuwnpa wasin	Бурбоны
Shijiazhuang	Шицзячжуан
Robinho	Робиньо
Liyun IX	Лев IX
Griguryu V	Григорий V (папа римский)
Climinti II	Климент II
Panyabi simi	Панджаби
Amkirya	Капуста (род)
Pashtu simi	Пушту
Mikhail Lomonosov	Ломоносов, Михаил Васильевич
Baja California suyu	Нижняя Калифорния
Sallqa waqlliy	Загрязнение
