આફ્રિકા	Африка
ભેંસ	Азиатский буйвол
મારિગાંવ જિલ્લો	Маригаон (округ)
લખિમપુર જિલ્લો	Лакхимпур (округ)
શોણિતપુર જિલ્લો	Сонитпур
શિવસાગર જિલ્લો	Сибсагар (округ)
ઉત્તર કછર જિલ્લો	Горы Северный Качар
દાઢી	Борода
સૈગોન એરપોર્ટ	Лонгтхань (аэропорт)
મેજર ડિપ્રેસિવ ડિસઓર્ડર	Большое депрессивное расстройство
કૃષ્ણ	Кришна
અરરિયા જિલ્લો	Арария (округ)
અરવલ જિલ્લો	Арвал (округ)
નિર્વાણ	Нирвана
આગ્રા	Агра
ચોમાસુ	Муссон
એલર્જી	Аллергия
સંક્ષિપ્ત સંદેશ સેવા	SMS
દુકાળ	Засуха
કાળા મરી	Перец чёрный
ઔરંગાબાદ જિલ્લો (બિહાર)	Аурангабад (округ, Бихар)
કાશ્મીર	Кашмир
વિકિપીડિયા:જાણીતા પ્રશ્નો	Википедия:ЧАВО
સ્વર્ગીય ગુફા	Тхьендыонг
હરિતદ્રવ્ય	Хлорофилл
વીમો	Страхование
ફ્રાન્સનો રાષ્ટ્રધ્વજ	Флаг Франции
ગેસ્ટાપો	Гестапо
પ્રિન્સ ચાર્લ્સ	Чарльз, принц Уэльский
ટાઇમ (સામયિક)	Time
લોકગીત	Фолк-музыка
કાગડો	Вороны
ડિસ્કવરી ચેનલ	Discovery Channel
ચંડીગઢ	Чандигарх
વરિયાળી	Фенхель обыкновенный
સ્ફટિક	Кристаллы
મમી	Мумия
હાઇડ્રોકાર્બન	Углеводороды
એપોલો ૧૧	Аполлон-11
બર્મુડા ત્રિકોણ	Бермудский треугольник
રણદ્વીપ	Оазис
ટર્કી	Индейки
બ્રેમ્પ્ટન, ઓન્ટારીયો	Брамптон (Онтарио)
નાગોર્નો-કરબાખ ગણરાજ્ય	Нагорный Карабах
ધ અંડરટેકર	Гробовщик (рестлер)
જિહાદ	Джихад
ઉષ્મા	Теплота
મંદિર	Храм
એલેક્સ ફર્ગ્યુસન	Фергюсон, Алекс
અળસી	Лён обыкновенный
કોલ્ડપ્લે	Coldplay
સ્વસ્તિક	Свастика
કંદહાર	Кандагар
નીલગિરી	Эвкалипт
એનફિલ્ડ	Энфилд (стадион)
ફણસ	Джекфрут
માછલીઘર	Аквариум
રાજા આર્થર	Король Артур
લાલ કિલ્લો	Красный форт (Дели)
દાદરા અને નગરહવેલી	Дадра и Нагар-Хавели
વિદ્યુત ક્ષેત્ર	Электрическое поле
ચાર્લ્સ બૅબેજ	Бэббидж, Чарльз
ફીજી હિન્દી	Фиджийский хинди
હેરી પોટર એન્ડ ધ ડેથલી હેલોઝ	Гарри Поттер и Дары Смерти
શ્રીમદ્ ભગવદ્ ગીતા	Бхагавадгита
ઑસ્ટ્રિયાનો રાષ્ટ્રધ્વજ	Флаг Австрии
અખરોટ	Орех грецкий
પાલી જિલ્લો	Пали (округ)
ઐશ્વર્યા રાય	Рай, Айшвария
કુ ક્લક્સ ક્લાન	Ку-клукс-клан
બ્રાહ્મણ	Брахманы
વોરન બફેટ	Баффетт, Уоррен
કામસૂત્ર	Камасутра
હસન	Хассан (город)
સ્વામી વિવેકાનંદ	Вивекананда
એકમ	Единицы измерения
ફિબોનાકિ	Числа Фибоначчи
રક્તના પ્રકાર	Группа крови
કેથરિન ઝેટા-જોન્સ	Зета-Джонс, Кэтрин
બ્લેક સબાથ	Black Sabbath
પ્રમબનન	Прамбанан
મુસલમાન	Мусульманин
પ્રતિભા પાટીલ	Патил, Пратибха
પત્તા	Игральные карты
ફીનલેંડનો રાષ્ટ્રધ્વજ	Флаг Финляндии
લખનૌ	Лакхнау
ઢાંચો:Commons category	Шаблон:Commonscat
સિટી ઓફ માન્ચેસ્ટર સ્ટેડિયમ	Этихад (стадион)
જર્મનીનો રાષ્ટ્રધ્વજ	Флаг Германии
યુરિયા	Мочевина
અમૃતસર	Амритсар
આલ્બેનિયાનો રાષ્ટ્રધ્વજ	Флаг Албании
ડેડમાઉસ	Deadmau5
ચંદ્રયાન-૧	Чандраян-1
ભોજપુર જિલ્લો	Бходжпур (округ)
ભાગલપુર જિલ્લો	Бхагалпур (округ)
બેગૂસરાય જિલ્લો	Бегусарай (округ)
દરભંગા જિલ્લો	Дарбханга (округ)
બક્સર જિલ્લો	Буксар (округ)
જમુઈ જિલ્લો	Джамуи (округ)
ગોપાલગંજ જિલ્લો	Гопалгандж (округ, Индия)
ગયા જિલ્લો	Гая (округ)
ખગડિયા જિલ્લો	Кхагария (округ)
જહાનાબાદ જિલ્લો	Джеханабад (округ)
ઓર્લાન્ડો, ફ્લોરિડા	Орландо (Флорида)
ગજહ મદ	Гаджа Мада
પર્યટન	Туризм
કવિ	Поэт
દ્વિસંગી તારો	Двойная звезда
માન્ચેસ્ટર સિટી ફૂટબૉલ ક્લબ	Манчестер Сити
ચલ	Переменная величина
અવયવ	Делимость
ઢાંચો:Chembox	Шаблон:Вещество
ઢાંચો:Taxobox	Шаблон:Taxobox
ઈથેન	Этан
જગદ્ગુરુ રામભદ્રાચાર્ય	Рамбхадрачарья Свами
ઢાંચો:Infobox legislature	Шаблон:Орган законодательной власти
હોલો	Кольчатая горлица
સુનીતા વિલિયમ્સ	Уильямс, Сунита
શ્રેણી:ચલચિત્ર	Категория:Фильмы
રાજ કપૂર	Капур, Радж
સ્વતંત્રતા દિવસ (ભારત)	День независимости Индии
પ્રણવ મુખર્જી	Мукерджи, Пранаб Кумар
એસ. એમ. કૃષ્ણ	Кришна, Соманахалли Маллайя
પંજાબી ભાષા	Панджаби
આદમ અને હવા	Адам и Ева
અરબી સમુદ્ર	Аравийское море
પ્રદૂષણ	Загрязнение
સતના	Сатна (город)
સરસ્વતી દેવી	Сарасвати
કાકીનાડા	Какинада
ઉંબરો (વૃક્ષ)	Фикус
હેઇદી ક્લુમ	Клум, Хайди
રજનીકાંત	Раджникант
ડેનમાર્કનો રાષ્ટ્રધ્વજ	Флаг Дании
સી. વી. રામન	Чандрасекхара Венката Раман
લાતૂર	Латур (город)
નવી મુંબઈ	Нави Мумбаи
પ્રાચી દેસાઇ	Прачи Десаи
