Āfrika	Африка
Kims Šelstrems	Чельстрём, Ким
Sadzīves žanrs	Жанровая живопись
Waiting for the Sun	Waiting for the Sun
Morrison Hotel	Morrison Hotel
Venecuēlas futbola izlase	Сборная Венесуэлы по футболу
Edens Azārs	Азар, Эден
Normatīvo aktu sistematizācija	Кодификация
T.I.	T.I.
Final Fantasy VII	Final Fantasy VII
The All-American Rejects	The All-American Rejects
Meža pīles	Речные утки
SOS	SOS
IS/LM modelis	Модель IS-LM
Bēdrozis	Кукша
Ūpji	Филины
S/2003 J 4	S/2003 J 4
Nirējpīļu ģints	Чернети
Jans Smetss	Смэтс, Ян Христиан
2005. gada Bērnu Eirovīzijas dziesmu konkurss	Детский конкурс песни Евровидение 2005
2012. gada Bērnu Eirovīzijas dziesmu konkurss	Детский конкурс песни Евровидение 2012
Adolfo Suaress	Суарес, Адольфо
Lielais Getsbijs	Великий Гэтсби
Like a Rolling Stone	Like a Rolling Stone
Filipīniešu—amerikāņu karš	Филиппино-американская война
Niks Kārters	Картер, Ник
Procol Harum	Procol Harum
Bāmijāna	Бамиан (город)
Ziloņputni	Эпиорнисовые
Getisburgas uzruna	Геттисбергская речь
Augustīniešu ordenis	Августинский орден
Texas hold 'em	Техасский холдем
Bonaventūra Kavaljēri	Кавальери, Бонавентура
Endijs Viljamss	Уильямс, Энди
Žozefs Liuvils	Лиувилль, Жозеф
Deivids Tenants	Теннант, Дэвид
Materiāls	Материал
Niks Kazantzakis	Казандзакис, Никос
Vilsona kamera	Камера Вильсона
Bžega	Бжег
Pols Osters	Остер, Пол Бенджамин
Džons Faulzs	Фаулз, Джон
Leons Baksts	Леон Бакст
M4 karabīne	M4 (автомат)
Sociālais kapitāls	Социальный капитал
Nacionālā okeānu un atmosfēras administrācija	Национальное управление океанических и атмосферных исследований
Kārlis Filips	Карл Филипп, принц Швеции
Insomniac	Insomniac (альбом Green Day)
Aleksejs Širovs	Широв, Алексей Дмитриевич
Bibliofilija	Библиофильство
Šetlandes ponijs	Шетландский пони
Cukura kļava	Клён сахарный
Publijs Kvintīlijs Vārs	Публий Квинтилий Вар
Trūmena šovs	Шоу Трумана
Viljams Boings	Боинг, Уильям Эдуард
Deivids Arčuleta	Арчулета, Дэвид
Bengālijas lapsa	Бенгальская лисица
Can't Be Tamed	Can’t Be Tamed
Nacionālā mākslas galerija	Национальная галерея искусства
Dramaturgs	Драматург
Laplatas "Estudiantes"	Эстудиантес
IPod Shuffle	IPod shuffle
Harijs Belafonte	Белафонте, Гарри
Villards Van Ormans Kvains	Куайн, Уиллард Ван Орман
Gemini (kosmiskais projekts)	Джемини (космическая программа)
Tronheimas katedrāle	Нидаросский собор
Maksvels Kabelino Andrade	Максвелл Кабелино Андраде
Audumla	Аудумла
Kapacitāte	Ёмкость
Riks Perijs	Перри, Рик
Lietuvas vēsture	История Литвы
Vanesa Meja	Ванесса Мэй
Mačala	Мачала
Kokosa	Кокос (остров)
2006. gada Bērnu Eirovīzijas dziesmu konkurss	Детский конкурс песни Евровидение 2006
2004. gada Bērnu Eirovīzijas dziesmu konkurss	Детский конкурс песни Евровидение 2004
Angļu—būru karš	Англо-бурская война (1899—1902)
Telenor arēna	Теленор Арена
Kouls Porters	Портер, Коул
Pasniegšanas slānis	Представительский уровень
Flyleaf	Flyleaf
80. Kinoakadēmijas balva	Оскар (кинопремия, 2008)
Buenosairesas "Velez Sarsfield"	Велес Сарсфилд
Ornāts	Казула
PPP	PPP (сетевой протокол)
BMX	Велосипедный мотокросс
Makreļu dzimta	Скумбриевые
Džons Maiers	Мэйер, Джон
JoJo	Джоджо
Edgars II Etlings	Эдгар Этелинг
Lielais Romas ugunsgrēks	Великий пожар Рима
Bikšu lentes ordenis	Орден Подвязки
Pelēkā lapsa	Серая лисица
Ričards Rortijs	Рорти, Ричард
Termoelektronu emisija	Термоэлектронная эмиссия
Denjels Denets	Деннет, Дэниел
Etiopu kalendārs	Эфиопский календарь
Zvaigžņu Vārti: Atlantīda	Звёздные врата: Атлантида
Volvo Cars	Volvo Personvagnar
Ženēvas stadions	Стад де Женев
Džordina Sperksa	Спаркс, Джордин
Anna Bergendāla	Бергендаль, Анна
Kernave	Кярнаве
Marija Kačiņska	Качиньская, Мария
Mikaels Agrikola	Агрикола, Микаэль
Staipekņu nodalījums	Плауновидные
Emajegi	Эмайыги
Mūzikas grupa	Музыкальный ансамбль
Zemgale	Земгале
Lielupe	Лиелупе
Venta	Вента
Presence	Presence
Haklberija Fina piedzīvojumi	Приключения Гекльберри Финна
Frīdrihs I	Фридрих I
Music From the Film More	Music from the Film More
Černobiļas atomelektrostacija	Чернобыльская АЭС
Andrijs Voroņins	Воронин, Андрей Викторович
Alberts Riera	Риера, Альберт
CM Punk	СМ Панк
Hanss Hofmanis	Гофман, Ганс
Serhio Romero	Ромеро, Серхио
Terenss Maliks	Малик, Терренс
Bug	Буг
Emīlija de Ravina	Де Рэвин, Эмили
Īrijas karaliste	Королевство Ирландия
Tirgotājs	Купец
Kerija Andervuda	Андервуд, Кэрри
Salīdzinošā priekšrocība	Теория сравнительных преимуществ
Frederiks Duglass	Дуглас, Фредерик
Pikaps	Пикап (кузов)
Lomža	Ломжа
Nadežda Krupska	Крупская, Надежда Константиновна
Aerobika	Аэробика
Spratlija salas	Острова Спратли
Hugo Volfs	Вольф, Хуго
Enerģijas dzēriens	Энергетический напиток
Delfīnu dzimta	Дельфиновые
Henks Ārons	Аарон, Хэнк
Marī Fransuā Sadī Karno	Карно, Мари Франсуа Сади
Edvards Smits	Смит, Эдвард Джон
Fairytale	Fairytale
Andrēass Tūrkildsens	Торкильдсен, Андреас
Kapelmeistars	Капельмейстер
Monoskops	Моноскоп
Elektroluminiscence	Электролюминесценция
Heimskringla	Круг Земной
Šejs Givens	Гивен, Шей
Peters Sūlbergs	Сольберг, Петтер
Ziemeļu divcīņa 2010. gada Ziemas Olimpiskajās spēlēs	Лыжное двоеборье на зимних Олимпийских играх 2010
Tornetresks	Турнетреск
Microsoft SQL Server	Microsoft SQL Server
Malajas tīģeris	Малайский тигр
Motokross	Мотокросс
Dunga	Дунга
Kandids	Кандид, или Оптимизм
Apvelings	Апвеллинг
Oranžais aģents	Агент Оранж
Jans Žižka	Жижка, Ян
Virstaktēšana	Разгон компьютеров
Rapla	Рапла
Patrīcija Ārkete	Аркетт, Патрисия
Dusmu augļi	Гроздья гнева
Makss fon Šeibners-Rihters	Шойбнер-Рихтер, Макс Эрвин фон
Lipmans Berss	Берс, Липман
Kārlis Kristians Jozefs	Карл Саксонский (герцог Курляндии)
Jēkabs Kleins	Клейн, Джейкоб
Džeimss Kīts	Кейт, Джеймс
Centrālamerikas tapirs	Центральноамериканский тапир
Justs Kristiāns fon Loders	Лодер, Христиан Иванович
Akūts	Акут
Komandu sports	Командные виды спорта
S/2003 J 19	S/2003 J 19
Duntinhu	Дунтинху
S/2003 J 16	S/2003 J 16
Kivieli	Кивиыли
Aptons Sinklērs	Синклер, Эптон Билл
Stenlijs Metjūss	Мэтьюз, Стэнли
Džeremijs Klārksons	Кларксон, Джереми
Hypo-Arena	Хипо-Арена
IE	Ie
Cygwin	Cygwin
Stīvs Karels	Кэрелл, Стив
23 (nozīmju atdalīšana)	23 (значения)
Mārita Bjergena	Бьёрген, Марит
Sesijas slānis	Сеансовый уровень
Hidrodinamika	Гидродинамика
Ārlingtonas nacionālā kapsēta	Арлингтонское национальное кладбище
Ribņica	Рыбница
Epic Records	Epic Records
Lietojamība	Юзабилити
Edvards Bērns-Džonss	Бёрн-Джонс, Эдвард
Perlamutra mākoņi	Перламутровые облака
Musiqq	Musiqq
Sana (upe)	Сан (приток Вислы)
Sems Hjūstons	Хьюстон, Сэм
Ļaunuma puķes	Цветы зла
Mazais Kaukāzs	Малый Кавказ
Bobs Geldofs	Гелдоф, Боб
Zaisans	Зайсан (озеро)
Tarimas ieplaka	Таримская впадина
Valdemārs IV	Вальдемар IV Аттердаг
Atvārsnītes	Устьице
Tamaņas pussala	Таманский полуостров
Monarhisms	Монархизм
Ortopēdija	Ортопедия
Valdorfpedagoģija	Вальдорфская педагогика
Lielā spēle	Большая игра
Ronalds Fišers	Фишер, Рональд Эйлмер
Volkswagen Passat	Volkswagen Passat
Hečbeks	Хетчбэк
S/2003 J 15	S/2003 J 15
Refraktors	Рефрактор
Manometrs	Манометр
Dāvids I	Давид I
Staraja Ladoga	Старая Ладога
Dunams	Дунам
Pols Koens	Коэн, Пол Джозеф
Rišards Kapusciņskis	Капущинский, Рышард
Ipolits Fizo	Физо, Арман Ипполит Луи
Adaptīvā radiācija	Адаптивная радиация
Jangstauna	Янгстаун
Gaisa masa	Воздушная масса
Kohēzija	Когезия (физика)
Taivānas aborigēni	Аборигены Тайваня
Anholta	Анхольт (остров)
Šēra (sala)	Шхеры
N.W.A.	N.W.A
Nīderlandes kauss futbolā	Кубок Нидерландов по футболу
Luksemburgas distrikti	Округа Люксембурга
Poltergeists	Полтергейст
Aleksis Kivi	Киви, Алексис
Fabiu Aureliu	Фабио Аурелио
Deriks Viblijs	Уибли, Дерик
Jāps Stams	Стам, Яп
Kriss Elens	Аллен, Крис
Harijs Poters (filmu sērija)	Гарри Поттер (серия фильмов)
Ingvars Kamprads	Кампрад, Ингвар Феодор
Diddy	Коумз, Шон
Žozefs Fušē	Фуше, Жозеф
Eirodeju mūzika	Евродэнс
Hēra Bjerka	Бьёрк, Гера
Kenans Evrens	Эврен, Кенан
Turcijas prezidenti	Президент Турции
Tonijs Levins	Левин, Тони
Džonijs Bravo	Джонни Браво
S/2003 J 23	S/2003 J 23
Deutsche Tourenwagen Masters	Deutsche Tourenwagen Masters
Sociālistu revolucionāru partija	Партия социалистов-революционеров
Aptumsums (filma)	Сумерки. Сага. Затмение
Radiogalaktika	Радиогалактика
Čehijas futbola 1. līga	Чемпионат Чехии по футболу
Other Voices	Other Voices
Nimrod	Nimrod.
Tors (filma)	Тор (фильм)
Live aus Berlin	Live aus Berlin
Bullet in a Bible	Bullet in a Bible
Manic Street Preachers	Manic Street Preachers
Procentuālā barjera	Процентный барьер
Turcijas ģeogrāfija	География Турции
Māris Verpakovskis	Верпаковскис, Марис Илмарович
Tamale	Тамале
SU	SU
Citplanētu uzskaitījums	Список кратных планетных систем
Naruhito	Нарухито
Kalevipoegs	Калевипоэг
Skice	Кроки
Ceļojumu aģentūra	Турагент
Airsofts	Страйкбол
Teļecas ezers	Телецкое
Orsons Skots Kārds	Кард, Орсон Скотт
Moonrise Kingdom	Королевство полной луны
Bokasa del Toro (province)	Бокас-дель-Торо (провинция)
Līča arābu valstu sadarbības padome	Совет сотрудничества арабских государств Персидского залива
Septītais zīmogs	Седьмая печать
Tumšie viduslaiki	Тёмные века европейской истории
Eirozonas krīze	Европейский долговой кризис
