Aafrika	Африка
Varbuss	Caenorhabditis elegans
Changchun	Чанчунь
Opole	Ополе
Mürareostus	Шумовое загрязнение
Jilin Shi	Гирин (город)
Vokisõit	Скоростной съезд на воках
London (Kanada)	Лондон (Канада)
Mall:Cite book	Шаблон:Cite book
Ghost in the Shell	Призрак в доспехах
Larry Wall	Уолл, Ларри
John Carmack	Кармак, Джон
Peter Naur	Наур, Петер
Andrew Tanenbaum	Таненбаум, Эндрю
Shawn Fanning	Фэннинг, Шон
Alice Imedemaal	Алиса в Стране чудес
Robert Tappan Morris	Моррис, Роберт Тэппэн
Brendan Eich	Айк, Брендан
Sopot	Сопот (Польша)
Vinton Cerf	Серф, Винтон
John Backus	Бэкус, Джон
Lotfi Zadeh	Лотфи Заде
Subhash Kak	Как, Субхаш
William Harvey	Гарвей, Уильям
Pär Lagerkvist	Лагерквист, Пер
Eugene O'Neill	О’Нил, Юджин
Oliiviõli	Оливковое масло
Milan Kundera	Кундера, Милан
Ratko Mladić	Младич, Ратко
Gaia	Гея
Seleukiidide riik	Государство Селевкидов
Ehud Olmert	Ольмерт, Эхуд
Louis Braille	Брайль, Луи
Joonistamine	Рисунок
Hilary Swank	Суонк, Хилари
Errol Flynn	Флинн, Эррол
Abielulahutus	Развод
Baptism	Баптизм
Ulster	Ольстер
Seksism	Сексизм
Tulp	Тюльпан
Dokumentaalfilm	Документальное кино
Emu	Эму
Arnsdorfi vald	Арнсдорф
Bretnig-Hauswalde	Бретниг-Хаусвальде
Burkau	Буркау
Crostwitzi vald	Кроствиц
Cunewalde	Куневальде
Demitz-Thumitz	Демиц-Тумиц
Nikolai Rimski-Korsakov	Римский-Корсаков, Николай Андреевич
Doberschau-Gaußig	Добершау-Гаусиг
Elsterheide vald	Эльстерхайде
Rawalpindi	Равалпинди
Frankenthal (Saksimaa)	Франкенталь (Саксония)
Göda vald	Гёда (коммуна)
Großdubrau vald	Гросдубрау
Großharthau vald	Гросхартау
Harilik pohl	Брусника
Großnaundorfi vald	Гроснаундорф
Großpostwitzi vald	Гроспоствиц (Верхняя Лужица)
Hüpertekst	Гипертекст
Guttau	Гуттау
Haselbachtal	Хазельбахталь
Hochkirchi vald	Хохкирх
Viirusetõrjetarkvara	Антивирусная программа
Königswartha vald	Кёнигсварта
Kubschütz	Кубшюц
Laußnitzi vald	Лаусниц
Lichtenbergi vald (Bautzeni kreis)	Лихтенберг (Лужица)
Lohsa	Лоза (Германия)
Väikesed Antillid	Малые Антильские острова
Malschwitz	Мальшвиц
Nebelschützi vald	Небельшюц
Neschwitz	Нешвиц
Neukirchi vald (Bautzeni kreis)	Нойкирх (Кёнигсбрюк)
Maakitsus	Перешеек
Neukirch/Lausitz	Нойкирх (Лужица)
Obergurig	Обергуриг
Ohorn	Охорн
Oßlingi vald	Ослинг
Ottendorf-Okrilla vald	Оттендорф-Окрилла
Panschwitz-Kuckau	Паншвиц-Кукау
Puschwitzi vald	Пушвиц
Marc Chagall	Шагал, Марк Захарович
Räckelwitzi vald	Реккельвиц
Radibori vald	Радибор
Ralbitz-Rosenthali vald	Ральбиц-Розенталь
Leping	Договор
Rammenau vald	Рамменау
Schmölln-Putzkau vald	Шмёльн-Пуцкау
Schönteicheni vald	Шёнтайхен
Schwepnitzi vald	Швепниц
Sohland an der Spree	Золанд-на-Шпре
Spreetali vald	Шпреталь
Vedur	Локомотив
Steina vald	Штайна
Steinigtwolmsdorfi vald	Штайнигтвольмсдорф
Hammurapi seadused	Законы Хаммурапи
Wachau vald	Вахау (Саксония)
Avatud süsteemide sidumise arhitektuur	Сетевая модель OSI
Tsüanobakterid	Цианобактерии
Meremiil	Морская миля
Chrzanów	Хшанув
Apalatšid	Аппалачи
Islandi lipp	Флаг Исландии
Gaziantep	Газиантеп
Miles Davis	Дейвис, Майлс
Percy Shelley	Шелли, Перси Биши
Trigonomeetrilised funktsioonid	Тригонометрические функции
The Who	The Who
Mostar	Мостар
Rannik	Побережье
Francis Scott Key Fitzgerald	Фицджеральд, Фрэнсис Скотт
Seamus Heaney	Хини, Шеймас
Oradea	Орадя
O Canada	Гимн Канады
Bío-Bío	Био-Био (река)
Biskaia	Бискайя
Halle-Vilvoorde ringkond	Халле-Вилворде
Leuveni ringkond	Лёвенский административный округ
Austria Elisabeth	Елизавета Габсбург
Matúš Móric Beňovský	Бенёвский, Мориц Август
1995. aasta Kuldgloobuse auhinnad	Золотой глобус (премия, 1995)
Walter Nowotny	Новотны, Вальтер
Kenti printsess Michael	Рейбниц, Мария Кристина фон
Luke Shaw	Шоу, Люк
Leopold Fitzinger	Фитцингер, Леопольд
Christopher Paolini	Паолини, Кристофер
Cecil Bødker	Бёдкер, Сесиль
Punase Kotka orden	Орден Красного орла
Novokuznetsk	Новокузнецк
Hammaste pesemine	Чистка зубов
1994. aasta Kuldgloobuse auhinnad	Золотой глобус (премия, 1994)
Tartu Ülikooli Kirjastus	Издательство Тартуского университета
Ernst Mach	Мах, Эрнст
Alfred Schütz	Шюц, Альфред
Gruusia rahvuskangelane	Орден Национального героя (Грузия)
James Cagney	Кэгни, Джеймс
Eileithyia	Илифия
Autonoe	Автоноя (дочь Кадма)
Segaduste aeg	Смутное время
Jack Lemmon	Леммон, Джек
Greeley	Грили (Колорадо)
Printsess Mathilde, Brabanti hertsoginna	Матильда (королева Бельгии)
Soome Valge Roosi Rüütliordu	Орден Белой розы Финляндии
Grand Theft Auto 2	Grand Theft Auto 2
Rose Marie	Роуз Мари
Grand Theft Auto	Grand Theft Auto (игра)
Hi-Fi (ansambel)	Hi-Fi (группа)
Stadio Alberto Braglia	Альберто Бралья (стадион)
Grand Theft Auto: Vice City	Grand Theft Auto: Vice City
Dievturība	Диевтуриба
Baltic Queen	Baltic Queen
Fantasmagorie	Фантасмагория (мультфильм)
Weldi maakond	Уэлд (округ)
Päevalilleõli	Подсолнечное масло
Grand Theft Auto IV	Grand Theft Auto IV
Grand Theft Auto: The Ballad of Gay Tony	Grand Theft Auto: The Ballad of Gay Tony
Emir Kusturica	Кустурица, Эмир
Rockstar North	Rockstar North
Mona saar	Мона (остров)
Rockstar Games	Rockstar Games
IRNSS	IRNSS
Sarnano	Сарнано
Sant'Agata Bolognese	Сант-Агата-Болоньезе
Anderlues	Андерлю
Gipuzkoa	Гипускоа
Huelva provints	Уэльва (провинция)
Jaéni provints	Хаэн (провинция)
Shirley MacLaine	Маклейн, Ширли
Lugo provints	Луго (провинция)
Málaga provints	Малага (провинция)
Warren Beatty	Битти, Уоррен
Teravmokk-ninasarvik	Чёрный носорог
Ourense provints	Оренсе (провинция)
Naberežnõje Tšelnõ	Набережные Челны
Paulette Goddard	Годдар, Полетт
Las Palmase provints	Лас-Пальмас (провинция)
Pontevedra provints	Понтеведра (провинция)
Sevilla provints	Севилья (провинция)
Ath	Ат
Guy Gavriel Kay	Кей, Гай Гэвриел
Beaumont (Belgia)	Бомон (Бельгия)
Binche	Бенш
Braine-le-Comte	Брен-ле-Конт
Brunehaut	Брюно (Бельгия)
Andreas Knopken	Кнопкен, Андреас
Ludwig Schwabe	Швабе, Людвиг
Magnitogorsk	Магнитогорск
Hüdrolaasid	Гидролазы
Ludwig Friedrich Kämtz	Кемц, Людвиг Мартынович
Adam Christian Gaspari	Гаспари, Адам Христиан
Friedrich Georg von Bunge	Бунге, Фёдор Андреевич
Georg Adelmann	Адельман, Георгий Викентьевич
Elafónisos	Элафонисси
Roland Theis	Тайс, Роланд
Udo Ulfkotte	Ульфкотте, Удо
Eugen Adolf Hermann Petersen	Петерсен, Евгений
Karl Friedrich Julius Peter Franz Rühl	Рюль, Франц
Tarragona provints	Таррагона (провинция)
Max Braun	Браун, Максимилиан Кристиан Густав Карл
Walter de Gruyter	Walter de Gruyter
Johann Friedrich Leberecht Schmalz	Шмальц, Фридрих
Carl Gustav Jochmann	Йохманн, Карл Густав
Nižni Tagil	Нижний Тагил
Volžski	Волжский
Praha Václav Haveli lennujaam	Прага (аэропорт)
Millau viadukt	Виадук Мийо
Bittsa park	Битцевский лес
Rooma Panteon	Пантеон (Рим)
Berliini linnaraudtee	Берлинская городская электричка
U1 (Berliin)	Линия U1 (Берлин)
U3 (Berliin)	Линия U3 (Берлин)
U4 (Berliin)	Линия U4 (Берлин)
U55	Линия U55 (Берлин)
U7 (Berliin)	Линия U7 (Берлин)
Commodore 64	Commodore 64
Padi	Подушка
Blello	Блелло
Mükoriisa	Микориза
Santa Cruz de Tenerife provints	Санта-Крус-де-Тенерифе (провинция)
F-16 Fighting Falcon	General Dynamics F-16 Fighting Falcon
Alfred Ter-Mkrttšhjan	Тер-Мкртчян, Альфред
Maranello	Маранелло
Kikkan Randall	Рэндалл, Киккан
Jessica Diggins	Диггинс, Джессика
Eutanaasia	Эвтаназия
Orkney saared	Оркнейские острова
Cluj-Napoca	Клуж-Напока
Ürglind	Археоптерикс
Friedrich Eberhard Rambach	Рамбах, Фридрих Эберхард
Busseto vald	Буссето
Fred Astaire	Фред Астер
Rachel Carson	Карсон, Рэйчел
Nael (massiühik)	Фунт (единица измерения)
Aort	Аорта
Destilleerimine	Дистилляция
Vereliistak	Тромбоциты
Albeedo	Альбедо
Baha'u'llah	Бахаулла
Puberteet	Половое созревание
Definitsioon	Определение (логика)
Provence	Прованс
Eleutherus	Елевферий (папа римский)
Yasuo Fukuda	Фукуда, Ясуо
Lenna (Bergamo)	Ленна
Moio de' Calvi	Мойо-де-Кальви
Akronüüm	Акроним
Newport	Ньюпорт
Innocentius X	Иннокентий X
Ainuraksed	Простейшие
Soter	Сотер (папа римский)
Innocentius XI	Иннокентий XI
Aleksander VIII	Александр VIII
Zephyrinus	Зефирин (папа римский)
Fanerosoikum	Фанерозой
Tartaros	Тартар
Masinaehitus	Машиностроение
Lillehammer	Лиллехаммер
Perekonnanimi	Фамилия
Homo erectus	Человек прямоходящий
Parre	Парре
Homo habilis	Человек умелый
Henry I	Генрих I (король Англии)
Massiarv	Массовое число
Kell (helitekitaja)	Колокол
Piazzatorre	Пьяццаторре
François Fillon	Фийон, Франсуа
Lobamba	Лобамба
Paulus IV	Павел IV
Pius II	Пий II
A(H1N1)2009 gripipandeemia	Пандемия гриппа H1N1 в 2009 году
Rastafarianism	Растафарианство
Indoneesia lipp	Флаг Индонезии
Estrid	Сложные эфиры
Aldehüüdid	Альдегиды
Deep Purple	Deep Purple
Wieluń	Велюнь (Польша)
Veebruarirevolutsioon	Февральская революция
Ristik	Клевер
Thabo Mbeki	Мбеки, Табо
Teeba (Egiptus)	Фивы (Египет)
Pruun kääbus	Коричневый карлик
Olümpose jumalad	Олимпийские боги
Marrakech	Марракеш
Mary Wollstonecraft	Уолстонкрафт, Мэри
Dolmen	Дольмен
Hadronid	Адрон
Tolmuimeja	Пылесос
Männilised	Сосновые
Altar	Алтарь
Gaetano Donizetti	Доницетти, Гаэтано
Harilik maikelluke	Ландыш майский
