افریقہ	Африка
رابرٹسن والکر متناسقات	Вселенная Фридмана
فہرست بین الاقوامی ناقل اندراج رموز	Автомобильные коды стран
مائے ہونگ سون	Мэхонгсон
ترک روس جنگیں	Русско-турецкие войны
ہوا پیمائی ایران پرواز 655	Катастрофа A300 над Персидским заливом
مالی کی علاقائی تقسیم	Административное деление Мали
لا بویلیی	Ла-Буйи
ذہنی دھلائی	Контроль сознания
دیوریغی	Дивриги
مدیات	Мидьят
ایسوسی ایشن آف چارٹرڈ سرٹیفائیڈ اکاؤنٹنٹس	ACCA
سینٹ-مرے-لے-پلائیں	Сен-Мари-ле-Плен
لا پوبلا دے بینیفاسا	Пуэбла-де-Бенифасар
ویلز فارگو	Wells Fargo
فانارئی	Фангареи
جے ایف-17 تھنڈر	Chengdu FC-1 Xiaolong
برگوس گرجاگھر	Бургосский собор
کیمی یاروی	Кемиярви
کرنیگالا ضلع	Курунегала (округ)
مسافت پیما	Одометр
جنگ چالدران	Чалдыранская битва
بزکشی	Козлодрание
سگا کاؤنٹی	Сага (уезд)
میری بیرڈ لینڈ	Земля Мэри Бэрд
اسلامی عہدِ زریں	Золотой век ислама
سین-مرے، ہوٹس-پیرینیث	Сент-Мари (Верхние Пиренеи)
سوڈان کی ریاستیں	Штаты Судана
یوپرگہ کاؤنٹی	Юпурга
لا وینا ڈیپارٹمنٹ	Ла-Винья (департамент)
اباتا	Убатан
امارت بخارا	Бухарский эмират
فنگاہ	Арт-студия
آیت الکرسی	Аят аль-Курси
بے سیٹی، مشی گن	Бей-Сити (Мичиган)
سینٹ-وں -لے-پن	Сент-Уан-ле-Пен
الحبرائی دالہ	Алгебраическая функция
سینٹ-یبڑدےش	Сен-Сибардо
براہمن	Брахман
سینٹ-کیپرین، کورریزے	Сен-Сиприен (Коррез)
کمونے	Коммуны Италии
سینٹ-ژاں -دلنوس	Сен-Жан-Дельну
محافظہ حولی	Хавалли
پائیتھون	Python (значения)
کوونگٹن، کینٹکی	Ковингтон
سینٹ-بینیگنے	Сен-Бенинь
ابوعبیدہ ابن الجراح	Абу Убайда ибн аль-Джаррах
اناکیم	Исполины
زرد آب	Зердаб
مورمنیت	Мормонизм
باریسال	Барисал
سینٹ-ایگنان-دے-کرامسنیل	Сент-Эньян-де-Крамениль
لوانگ پرابانگ صوبہ	Луангпхабанг (провинция)
سبنوو ضلع	Сабинов (район)
جانکوو	Яниково
حاصلۂ نور	Фоторецептор
پریفیکچر سطح شہر	Городской округ (КНР)
ضلع ساراندہ	Саранда (округ)
تریرس	Тюрье
لوویسا	Ловийса
ای سالمی	Ийсалми
رولز آف دی گیم (فلم)	Правила игры (фильм)
سینٹ-ژاں -دو-بریل	Сен-Жан-дю-Брюэль
بحیرہ الشرق	Левантийское море
نجمانی کان کنی	Промышленное освоение астероидов
سینٹ-لارنٹ-دلٹ	Сен-Лоран-д’Ольт
سینٹ-پلیس-دو-نے	Сен-Пале-дю-Не
لا کارلوٹا، سپاین	Ла-Карлота
لا لوبیری	Ла-Лубьер
سین-یلے-دلٹ	Сент-Элали-д’Ольт
جرجا	Гирга
بیابیسینسیو	Вильявисенсио
لا پومیرائے، کالواڈوس	Ла-Поммерей
سینٹ-مشیل-دے-لوٹ	Сен-Мишель-де-Ливе
سینٹ-مارٹن-دو-کلوچر	Сен-Мартен-дю-Клоше
میڈییری	Мадьер
لا پرایری، منیسوٹا	Ла-Прери (город, Миннесота)
لا روکوی-بیگنارڈ	Ла-Рок-Беньяр
شمالی تھائی لینڈ	Северный Таиланд
فہرست تاجکستان کے شہر	Города Таджикистана
محافظہ طفیلہ	Эт-Тафила (мухафаза)
محافظہ جرش	Джараш (мухафаза)
متحدہ عرب امارات کے شہر	Города Объединённых Арабских Эмиратов
بھارت کے شہر بلحاظ آبادی	Города-миллионеры Индии
محافظہ مادبا	Мадаба (мухафаза)
بازار سرمایہ	Рынок капиталов
سین-پوانگے	Сен-Пуанж
سینٹ-مارسیل، اندرے	Сен-Марсель (Эндр)
سین-رومین-دے-بنت	Сен-Ромен-де-Бене
کاکوگاوا، ہیوگو	Какогава
بائدگوسزسز کاؤنٹی	Быдгощский повят
مینورہ حانوکا	Ханукия
سماوہ	Эс-Самава
ینگچینگ کاؤنٹی	Янчэн
سناج	Санаг
عنادی استحالہ	Малигнизация
عسکری عدالت	Военный трибунал
لامورلای	Ламорле
سینٹ-کلئیر-سر-اتے	Сен-Клер-сюр-Эпт
نعمہ	Нема (Мавритания)
علامۂِ فلسفہ	Доктор философии
جزائر ضلع	Айлендс (Гонконг)
سینٹ-کیپرین، پیرینیث-ورینتلیس	Сен-Сиприен (Восточные Пиренеи)
بنو حفص	Хафсиды
لا پیری	Ла-Пьер
لا انقباض	Асистолия
سینٹ-کلاؤڈ	Сен-Кло
سینٹ-چلے-دوبرک	Сен-Шели-д’Обрак
برازیل کے علاقے	Регионы Бразилии
منٰی	Мина (долина)
مادۂ سیاہ	Чёрная субстанция
Socket A	Socket A
مسخنت	Месхенет
سینٹ لارنس بحری گزرگاہ	Морской путь Святого Лаврентия
نقاده	Негада
مابعدالطبیعیاتی مصوری	Метафизическая живопись
مشرقی نیا برطانیہ صوبہ	Восточная Новая Британия
دریائے عطبرہ	Атбара (река)
مانچسٹر، کنیکٹیکٹ	Манчестер (Коннектикут)
والدہ سلطان	Валиде-султан
ہا ضلع	Хаа (дзонгхаг)
کریمنیکا	Кремница
کیمیائی مادوں کے زہری اثرات کا اندراج	RTECS
برسٹل، کنیکٹی کٹ	Бристол (Коннектикут)
ایتھنز، اوہائیو	Атенс (Огайо)
میلفورڈ، ڈیلاویئر	Милфорд (Делавэр)
میلفورڈ، کنیکٹیکٹ	Милфорд (Коннектикут)
ہندومت بلحاظ ملک	Индуизм по странам
جزیرہ اٹکا	Атка (остров)
نوڈ جے ایس	Node.js
فاتح مسجد، استنبول	Фатих (мечеть)
Reserve currency	Резервная валюта
کریمیا	Автономная Республика Крым
کروپینا	Крупина
عصر (نماز)	Аср
تجکجہ	Тиджикжа
ہند ملایا ماحولیاتی خطہ	Индомалайская зона
سیستان	Систан
وورونائے رسمہ	Диаграмма Вороного
بحر (موترہ)	Метрический тензор
عشاء	Иша
اتوپو	Аттапы (город)
جزیرہ اٹو	Атту (остров)
آبرن، کینٹکی	Оберн (Кентукки)
آبرن، مینے	Оберн (Мэн)
آبرن ہلز، مشی گن	Оберн-Хилс
بھنڈارا	Бхандара
خمیس مشیط	Хамис-Мушаит
گیندائے قائمہ	Бархатцы прямостоячие
اننتپور، آندھرا پردیش	Анантапур (город, Андхра-Прадеш)
پس حجیرہ	Задняя камера
میلنی ریوس	Риос, Мелани
گوادالکانال صوبہ	Гуадалканал (провинция)
کلیئر	Клэр-колледж
آرو وفاق	Конфедерация Аро
یوویرے	Ивуар (Франция)
لاگیس	Лажис
سلطنت بامانا	Бамбара (государство)
لاس ٹوریس دے کوٹیلاس	Лас-Торрес-де-Котильяс
محافظہ غزہ	Газа (провинция)
تارودانت	Тарудант
نوائی	Навои (город)
ویکفیلڈ شہر	Уэйкфилд (город)
ہوائی ایمبولینس	Санитарная авиация
سین-پال-دے-سلیرس	Сен-Поль-де-Салер
متوازی ابلاغ	Параллельное соединение (информатика)
لا سیرپینٹ	Ла-Серпан
وادی یزرعیل	Изреельская долина
شمالی کینیڈا	Северная Канада
خورفکان	Хаур-Факкан
Informed consent	Информированное добровольное согласие
لا ولے نیووے-آ-چینی	Ла-Вильнёв-о-Шен
اولمپس (ضد ابہام)	Olympus (значения)
سکوربو	Сасекорбо
برطانوی ادب	Британская литература
یورگر	Юрегир
سینٹ-جلیں ، کوٹس-دآرمور	Сен-Жюльен (Кот-д’Армор)
تربت حیدریہ	Торбете-Хейдерие
ٹیسلا	Тесла
تنکابن	Тонекабон
قروہ	Корве
طیران	Авиация
تربت جام	Торбете-Джам
تویسرکان	Туйсеркан
قوچان	Кучан
سلماس	Сельмас
بیلیز کے اضلاع	Округа Белиза
ہاچیمانٹائی،اواٹے	Хатимантай
کوسموس، مینیسوٹا	Космос (город, Миннесота)
اوکیناوا پریفیکچر	Окинава (префектура)
تکاب	Текаб
چانگلے	Чанлэ (Фучжоу)
سینٹ-آندرے-سر-ےش-جونک	Сент-Андре-сюр-Вьё-Жон
علی گڑھ ضلع	Алигарх (округ)
سولداد، اتلانتیکو	Соледад (Атлантико)
سلامیس، قبرص	Саламин (Кипр)
دشت لوت	Деште-Лут
سین-کرسٹی	Сент-Кристи
تاجی، عراق	Таджи
طبس	Тебес
سہیبگنج ضلع	Сахибгандж (округ)
گیدیماغا علاقہ	Кудимага
کھیلیاتی سامان	Спортивный инвентарь
سندھودرگ ضلع	Синдхудург (округ)
پروگرام	Программа
سوغوت	Сёгют
عدسہ (بصریات)	Линза
لاندیویل	Лантёй (Кальвадос)
سین-فلبرٹ-دے-شامپ	Сен-Фильбер-де-Шан
یربا بینا اسلنڈ	Йерба-Буэна (остров)
نونتھابوری (شہر)	Нонтхабури
ہڈسن، فلوریڈا	Хадсон (Флорида)
ڈیلی موشن	Dailymotion
ہیجن	Хэцзинь
شہری کاؤنٹی	Метрополитенское графство
پرتگالی کمیونسٹ پارٹی	Португальская коммунистическая партия
ووچانگ، ہیلونگجیانگ	Учан (Харбин)
حمزہ بن عبدالمطلب	Хамза ибн Абд аль-Мутталиб
لانسون، ارڈینیس	Лансон (Арденны)
مارنئولی	Марнеули
ڈونا ملز	Миллз, Донна
ولندیزی گولڈ کوسٹ	Нидерландская Гвинея
ڈنمارکی گولڈ کوسٹ	Датская Гвинея
جنوبی ایشیاء	Южная Азия
دار الاسلام	Дар аль-ислам
